Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
48,103;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
49,104;964,61000;2,00;8,00;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
50,104;964,61000;2,00;8,00;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
51,105;964,61000;2,00;8,00;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
52,107;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
53,107;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
54,108;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
55,110;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
56,111;964,62000;2,00;8,00;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
57,112;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
58,113;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
59,114;964,63000;2,00;8,00;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
60,115;964,63000;2,00;8,00;60,115;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
61,117;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
62,322;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
63,323;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
64,324;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
65,324;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
66,325;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
67,326;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
68,327;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
69,329;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
70,329;964,61000;2,00;7,50;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
71,329;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
72,329;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
73,331;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
74,331;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
75,333;964,58000;2,00;7,50;;b'0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03
76,334;964,58000;2,00;7,50;;b'0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6458E+02,2, 1,3652E+00,5, 1,0000E+03
77,336;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
78,336;964,64000;2,00;7,50;;b'0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
79,337;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
80,338;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
81,339;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
82,339;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
83,340;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
84,340;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
85,342;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
86,343;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
87,344;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
88,345;964,61000;2,00;7,50;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
89,346;964,59000;2,00;7,50;;b'0, 9,6459E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6459E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6459E+02,2, 1,3652E+00,5, 1,0000E+03
90,347;964,61000;2,00;7,50;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
91,348;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
92,349;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
93,349;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
94,350;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
95,350;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
96,352;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
97,353;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
98,354;964,64000;2,00;7,50;;b'0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6464E+02,2, 1,3652E+00,5, 1,0000E+03
99,355;964,63000;2,00;7,50;;b'0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6463E+02,2, 1,3652E+00,5, 1,0000E+03
100,356;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
101,358;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
102,358;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
103,359;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
104,361;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
105,361;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
106,363;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
107,363;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
108,365;964,62000;2,00;7,50;;b'0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6462E+02,2, 1,3652E+00,5, 1,0000E+03
109,367;964,61000;2,00;7,50;;b'0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6461E+02,2, 1,3652E+00,5, 1,0000E+03
