Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
49,033;896,65000;10,00;10,00;Einlass;;b'0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
50,034;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
51,036;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
52,038;896,63000;10,00;10,00;Einlass;;b'0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9663E+02,2, 1,3652E+00,5, 1,0000E+03
53,039;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
54,040;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
55,040;896,65000;10,00;10,00;Einlass;;b'0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
56,042;896,65000;10,00;10,00;Einlass;;b'0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9665E+02,2, 1,3652E+00,5, 1,0000E+03
57,043;896,64000;10,00;10,00;Einlass;;b'0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9664E+02,2, 1,3652E+00,5, 1,0000E+03
58,044;896,69000;10,00;10,00;Einlass;;b'0, 8,9669E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9669E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9669E+02,2, 1,3652E+00,5, 1,0000E+03
59,045;896,72000;10,00;10,00;Einlass;;b'0, 8,9672E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9672E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9672E+02,2, 1,3652E+00,5, 1,0000E+03
60,046;896,73000;10,00;10,00;Einlass;;b'0, 8,9673E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9673E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9673E+02,2, 1,3652E+00,5, 1,0000E+03
61,047;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
62,048;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
63,049;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
64,049;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
65,050;896,78000;10,00;10,00;Einlass;;b'0, 8,9678E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9678E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9678E+02,2, 1,3652E+00,5, 1,0000E+03
66,051;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
67,052;896,77000;10,00;10,00;Einlass;;b'0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9677E+02,2, 1,3652E+00,5, 1,0000E+03
68,053;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
69,053;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
70,053;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
71,054;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
72,055;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
73,056;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
74,058;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
