Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
281,983;897,62000;10,00;9,00;Einlass;
282,971;897,58000;10,00;9,00;Einlass;
283,959;897,58000;10,00;9,00;Einlass;
284,947;897,58000;10,00;9,00;Einlass;
285,936;897,57000;10,00;9,00;Einlass;
286,923;897,57000;10,00;9,00;Einlass;
287,911;897,54000;10,00;9,00;Einlass;
288,899;897,53000;10,00;9,00;Einlass;
289,887;897,53000;10,00;9,00;Einlass;
290,875;897,57000;10,00;9,00;Einlass;
291,863;897,57000;10,00;9,00;Einlass;
292,851;897,57000;10,00;9,00;Einlass;
293,838;897,58000;10,00;9,00;Einlass;
294,827;897,60000;10,00;9,00;Einlass;
295,815;897,62000;10,00;9,00;Einlass;97,807
296,803;897,25000;10,00;8,50;Einlass;
297,790;896,22000;10,00;8,50;Einlass;
298,779;895,61000;10,00;8,50;Einlass;
299,767;895,37000;10,00;8,50;Einlass;
300,755;895,32000;10,00;8,50;Einlass;
301,742;895,31000;10,00;8,50;Einlass;
302,730;895,28000;10,00;8,50;Einlass;
303,719;895,28000;10,00;8,50;Einlass;
304,706;895,27000;10,00;8,50;Einlass;
305,695;895,27000;10,00;8,50;Einlass;
306,683;895,27000;10,00;8,50;Einlass;
307,670;895,23000;10,00;8,50;Einlass;
308,658;895,26000;10,00;8,50;Einlass;
309,646;895,29000;10,00;8,50;Einlass;
310,634;895,31000;10,00;8,50;Einlass;
311,621;895,31000;10,00;8,50;Einlass;
312,610;895,32000;10,00;8,50;Einlass;
313,598;895,35000;10,00;8,50;Einlass;
314,585;895,35000;10,00;8,50;Einlass;
315,574;895,38000;10,00;8,50;Einlass;
316,562;895,40000;10,00;8,50;Einlass;
317,550;895,36000;10,00;8,50;Einlass;
318,538;895,35000;10,00;8,50;Einlass;
319,525;895,32000;10,00;8,50;Einlass;
320,514;895,31000;10,00;8,50;Einlass;
321,502;895,31000;10,00;8,50;Einlass;
322,489;895,34000;10,00;8,50;Einlass;
323,477;895,35000;10,00;8,50;Einlass;
324,465;895,32000;10,00;8,50;Einlass;
325,454;895,31000;10,00;8,50;Einlass;
326,441;895,36000;10,00;8,50;Einlass;
327,429;895,39000;10,00;8,50;Einlass;
328,417;895,42000;10,00;8,50;Einlass;
329,405;895,44000;10,00;8,50;Einlass;
330,393;895,44000;10,00;8,50;Einlass;
331,381;895,37000;10,00;8,50;Einlass;
332,369;895,36000;10,00;8,50;Einlass;
333,357;895,37000;10,00;8,50;Einlass;
334,345;895,39000;10,00;8,50;Einlass;
335,332;895,40000;10,00;8,50;Einlass;
336,320;895,41000;10,00;8,50;Einlass;
337,308;895,39000;10,00;8,50;Einlass;
338,296;895,39000;10,00;8,50;Einlass;
339,285;895,42000;10,00;8,50;Einlass;
340,273;895,41000;10,00;8,50;Einlass;
341,260;895,40000;10,00;8,50;Einlass;
342,248;895,40000;10,00;8,50;Einlass;
343,236;895,40000;10,00;8,50;Einlass;
344,224;895,36000;10,00;8,50;Einlass;
345,212;895,36000;10,00;8,50;Einlass;
346,200;895,35000;10,00;8,50;Einlass;
347,188;895,35000;10,00;8,50;Einlass;
348,176;895,37000;10,00;8,50;Einlass;
349,164;895,36000;10,00;8,50;Einlass;
350,152;895,32000;10,00;8,50;Einlass;
351,140;895,32000;10,00;8,50;Einlass;
352,128;895,31000;10,00;8,50;Einlass;
353,116;895,31000;10,00;8,50;Einlass;
354,104;895,31000;10,00;8,50;Einlass;
355,091;895,31000;10,00;8,50;Einlass;
356,080;895,30000;10,00;8,50;Einlass;
357,068;895,31000;10,00;8,50;Einlass;
358,055;895,32000;10,00;8,50;Einlass;
359,044;895,35000;10,00;8,50;Einlass;
360,031;895,35000;10,00;8,50;Einlass;
