Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s
506,991;882,35;10;8;Einlass;102,093
507,992;882,37;10;7,5;Einlass;
508,993;882,24;10;7,5;Einlass;
509,994;839,16;10;7,5;Einlass;
510,994;809,88;10;7,5;Einlass;
511,996;795,61;10;7,5;Einlass;
512,996;788,61;10;7,5;Einlass;
513,996;785,13;10;7,5;Einlass;
514,998;783,35;10;7,5;Einlass;
515,998;782,54;10;7,5;Einlass;
516,998;781,92;10;7,5;Einlass;
517,999;781,54;10;7,5;Einlass;
518,999;781,28;10;7,5;Einlass;
520,001;781,12;10;7,5;Einlass;
521,001;781,01;10;7,5;Einlass;
522,003;780,93;10;7,5;Einlass;
523,004;780,86;10;7,5;Einlass;
524,004;780,82;10;7,5;Einlass;
525,005;780,81;10;7,5;Einlass;
526,007;780,84;10;7,5;Einlass;
527,007;780,81;10;7,5;Einlass;
528,009;780,77;10;7,5;Einlass;
529,01;780,72;10;7,5;Einlass;
530,011;780,69;10;7,5;Einlass;
531,012;780,68;10;7,5;Einlass;
532,012;780,65;10;7,5;Einlass;
533,012;780,61;10;7,5;Einlass;
534,014;780,57;10;7,5;Einlass;
535,014;780,56;10;7,5;Einlass;
536,015;780,52;10;7,5;Einlass;
537,016;780,51;10;7,5;Einlass;
538,016;780,56;10;7,5;Einlass;
539,018;780,53;10;7,5;Einlass;
540,018;780,51;10;7,5;Einlass;
541,019;780,48;10;7,5;Einlass;
542,021;780,47;10;7,5;Einlass;
543,021;780,47;10;7,5;Einlass;
544,022;780,43;10;7,5;Einlass;
545,022;780,43;10;7,5;Einlass;
546,023;780,43;10;7,5;Einlass;
547,024;780,47;10;7,5;Einlass;
548,025;780,47;10;7,5;Einlass;
549,025;780,47;10;7,5;Einlass;
550,026;780,45;10;7,5;Einlass;
551,028;780,43;10;7,5;Einlass;
552,028;780,4;10;7,5;Einlass;
553,028;780,39;10;7,5;Einlass;
554,029;780,39;10;7,5;Einlass;
555,029;780,42;10;7,5;Einlass;
556,031;780,39;10;7,5;Einlass;
557,032;780,37;10;7,5;Einlass;
558,033;780,36;10;7,5;Einlass;
559,034;780,37;10;7,5;Einlass;
560,034;780,35;10;7,5;Einlass;
561,035;780,35;10;7,5;Einlass;
562,035;780,34;10;7,5;Einlass;
563,036;780,35;10;7,5;Einlass;
564,037;780,38;10;7,5;Einlass;
565,037;780,39;10;7,5;Einlass;
566,037;780,35;10;7,5;Einlass;
567,038;780,34;10;7,5;Einlass;
568,039;780,34;10;7,5;Einlass;
569,04;780,37;10;7,5;Einlass;
570,041;780,39;10;7,5;Einlass;
571,042;780,39;10;7,5;Einlass;
572,042;780,4;10;7,5;Einlass;
573,042;780,43;10;7,5;Einlass;
574,043;780,43;10;7,5;Einlass;
575,043;780,46;10;7,5;Einlass;
576,043;780,45;10;7,5;Einlass;
577,044;780,4;10;7,5;Einlass;
578,044;780,39;10;7,5;Einlass;
579,045;780,36;10;7,5;Einlass;
580,046;780,35;10;7,5;Einlass;
581,046;780,34;10;7,5;Einlass;
582,048;780,3;10;7,5;Einlass;
583,049;780,31;10;7,5;Einlass;
584,049;780,3;10;7,5;Einlass;
585,049;780,33;10;7,5;Einlass;
586,05;780,35;10;7,5;Einlass;
587,051;780,34;10;7,5;Einlass;
588,051;780,34;10;7,5;Einlass;
589,053;780,35;10;7,5;Einlass;
590,054;780,31;10;7,5;Einlass;
591,054;780,3;10;7,5;Einlass;
592,055;780,3;10;7,5;Einlass;
593,056;780,3;10;7,5;Einlass;
594,057;780,27;10;7,5;Einlass;
595,057;780,26;10;7,5;Einlass;
596,058;780,26;10;7,5;Einlass;
597,059;780,24;10;7,5;Einlass;
598,059;780,22;10;7,5;Einlass;
599,06;780,2;10;7,5;Einlass;
600,06;780,17;10;7,5;Einlass;
601,061;780,21;10;7,5;Einlass;
602,061;780,22;10;7,5;Einlass;
603,062;780,22;10;7,5;Einlass;
604,063;780,22;10;7,5;Einlass;
605,063;780,22;10;7,5;Einlass;
606,064;780,21;10;7,5;Einlass;
607,066;780,22;10;7,5;Einlass;
608,066;780,26;10;7,5;Einlass;
609,067;780,26;10;7,5;Einlass;
610,068;780,25;10;7,5;Einlass;
611,069;780,26;10;7,5;Einlass;
612,07;780,26;10;7,5;Einlass;
613,072;780,25;10;7,5;Einlass;105,079
614,072;780,26;10;7;Einlass;
615,073;780,27;10;7;Einlass;
616,075;720,05;10;7;Einlass;
617,076;625,64;10;7;Einlass;
618,076;551,36;10;7;Einlass;
619,076;494,56;10;7;Einlass;
620,077;450,72;10;7;Einlass;
621,079;416,96;10;7;Einlass;
622,079;390,51;10;7;Einlass;
623,081;369,92;10;7;Einlass;
624,082;353,77;10;7;Einlass;
625,084;341,22;10;7;Einlass;
626,084;331,07;10;7;Einlass;
627,086;322,97;10;7;Einlass;
628,087;316,64;10;7;Einlass;
629,088;311,6;10;7;Einlass;
630,089;307,39;10;7;Einlass;
631,091;304,27;10;7;Einlass;
632,091;301,63;10;7;Einlass;
633,092;300,03;10;7;Einlass;
634,093;298,36;10;7;Einlass;
635,095;296,77;10;7;Einlass;
636,096;295,41;10;7;Einlass;
637,098;294,28;10;7;Einlass;
638,099;293,32;10;7;Einlass;
639,1;292,51;10;7;Einlass;
640,1;291,81;10;7;Einlass;
641,102;291,24;10;7;Einlass;
642,102;290,72;10;7;Einlass;
643,103;290,26;10;7;Einlass;
644,104;289,88;10;7;Einlass;
645,104;289,54;10;7;Einlass;
646,105;289,17;10;7;Einlass;
647,105;288,87;10;7;Einlass;
648,105;288,61;10;7;Einlass;
649,106;288,39;10;7;Einlass;
650,107;288,19;10;7;Einlass;
651,109;288,02;10;7;Einlass;
652,11;287,83;10;7;Einlass;
653,111;287,62;10;7;Einlass;
654,112;287,44;10;7;Einlass;
655,112;287,27;10;7;Einlass;
656,113;287,11;10;7;Einlass;
657,115;286,97;10;7;Einlass;
658,116;286,84;10;7;Einlass;
659,116;286,71;10;7;Einlass;
660,116;286,54;10;7;Einlass;
661,117;286,43;10;7;Einlass;
662,118;286,29;10;7;Einlass;
663,119;286,17;10;7;Einlass;
664,119;286,01;10;7;Einlass;
665,121;285,87;10;7;Einlass;
666,122;285,75;10;7;Einlass;
667,123;285,65;10;7;Einlass;
668,123;285,55;10;7;Einlass;
669,124;285,42;10;7;Einlass;
670,125;285,31;10;7;Einlass;
671,127;285,23;10;7;Einlass;
672,128;285,12;10;7;Einlass;
673,128;285,03;10;7;Einlass;
674,128;284,92;10;7;Einlass;
675,13;284,85;10;7;Einlass;
676,131;284,8;10;7;Einlass;
677,132;284,78;10;7;Einlass;
678,132;284,74;10;7;Einlass;
679,132;284,7;10;7;Einlass;
680,133;284,66;10;7;Einlass;
681,133;284,61;10;7;Einlass;
682,134;284,54;10;7;Einlass;
683,134;284,49;10;7;Einlass;
684,136;284,45;10;7;Einlass;
685,137;284,44;10;7;Einlass;
686,137;284,41;10;7;Einlass;
687,137;284,37;10;7;Einlass;
688,138;284,3;10;7;Einlass;
689,139;284,2;10;7;Einlass;
690,141;284,13;10;7;Einlass;
691,142;284,1;10;7;Einlass;
692,142;284,06;10;7;Einlass;
693,143;284,01;10;7;Einlass;
694,143;283,97;10;7;Einlass;
695,143;283,93;10;7;Einlass;
696,144;283,92;10;7;Einlass;
697,144;283,89;10;7;Einlass;
698,145;283,86;10;7;Einlass;
699,146;283,81;10;7;Einlass;
700,146;283,76;10;7;Einlass;
701,146;283,72;10;7;Einlass;
702,148;283,71;10;7;Einlass;
703,148;283,71;10;7;Einlass;
704,148;283,71;10;7;Einlass;
705,149;283,67;10;7;Einlass;
706,15;283,67;10;7;Einlass;
707,15;283,63;10;7;Einlass;
708,151;283,63;10;7;Einlass;
709,151;283,58;10;7;Einlass;
710,152;283,55;10;7;Einlass;
711,152;283,5;10;7;Einlass;
712,154;283,49;10;7;Einlass;
713,154;283,46;10;7;Einlass;
714,154;283,41;10;7;Einlass;
715,155;283,39;10;7;Einlass;
716,157;283,37;10;7;Einlass;
717,158;283,37;10;7;Einlass;
718,158;283,35;10;7;Einlass;
719,159;283,33;10;7;Einlass;
720,16;283,3;10;7;Einlass;
721,163;283,28;10;7;Einlass;
722,164;283,28;10;7;Einlass;
723,166;283,27;10;7;Einlass;
724,167;283,25;10;7;Einlass;
725,168;283,23;10;7;Einlass;
726,168;283,2;10;7;Einlass;
727,17;283,16;10;7;Einlass;
728,171;283,12;10;7;Einlass;
729,173;283,11;10;7;Einlass;
730,173;283,07;10;7;Einlass;
731,174;283,07;10;7;Einlass;
